particle_id,analysis_index,t,y,source_index,y_m,is_valid_freefall
particle5,0,0.0,0.618,0,0.0006180000000000001,False
particle5,1,0.1,0.618,1,0.0006180000000000001,False
particle5,2,0.2,0.618,2,0.0006180000000000001,False
particle5,3,0.3,0.618,3,0.0006180000000000001,False
particle5,4,0.4,0.621,4,0.000621,False
particle5,5,0.5,0.621,5,0.000621,False
particle5,6,0.6,0.618,6,0.0006180000000000001,False
particle5,7,0.7,0.615,7,0.000615,False
particle5,8,0.8,0.611,8,0.000611,False
particle5,9,0.9,0.612,9,0.000612,False
particle5,10,1.0,0.611,10,0.000611,False
particle5,11,1.1,0.611,11,0.000611,False
particle5,12,1.2,0.611,12,0.000611,False
particle5,13,1.3,0.606,13,0.000606,False
particle5,14,1.4,0.607,14,0.000607,False
particle5,15,1.5,0.605,15,0.000605,False
particle5,16,1.6,0.606,16,0.000606,False
particle5,17,1.7,0.608,17,0.000608,False
particle5,18,1.8,0.608,18,0.000608,False
particle5,19,1.9,0.608,19,0.000608,False
particle5,20,2.0,0.61,20,0.00061,False
particle5,21,2.1,0.61,21,0.00061,False
particle5,22,2.2,0.61,22,0.00061,False
particle5,23,2.3,0.605,23,0.000605,False
particle5,24,2.4,0.603,24,0.000603,False
particle5,25,2.5,0.592,25,0.000592,False
particle5,26,2.6,0.592,26,0.000592,False
particle5,27,2.7,0.59,27,0.00059,False
particle5,28,2.8,0.58,28,0.00058,False
particle5,29,2.9,0.574,29,0.000574,False
particle5,30,3.0,0.575,30,0.000575,False
particle5,31,3.1,0.566,31,0.000566,False
particle5,32,3.2,0.561,32,0.0005610000000000001,False
particle5,33,3.3,0.561,33,0.0005610000000000001,False
particle5,34,3.4,0.543,34,0.0005430000000000001,False
particle5,35,3.5,0.543,35,0.0005430000000000001,False
particle5,36,3.6,0.525,36,0.0005250000000000001,False
particle5,37,3.7,0.524,37,0.000524,False
particle5,38,3.8,0.525,38,0.0005250000000000001,False
particle5,39,3.9,0.516,39,0.0005160000000000001,False
particle5,40,4.0,0.509,40,0.000509,False
particle5,41,4.1,0.509,41,0.000509,False
particle5,42,4.2,0.502,42,0.0005020000000000001,False
particle5,43,4.3,0.5,43,0.0005,False
particle5,44,4.4,0.5,44,0.0005,False
particle5,45,4.5,0.492,45,0.000492,False
particle5,46,4.6,0.492,46,0.000492,False
particle5,47,4.7,0.476,47,0.00047599999999999997,False
particle5,48,4.8,0.47,48,0.00047,False
particle5,49,4.9,0.469,49,0.00046899999999999996,False
particle5,50,5.0,0.467,50,0.000467,False
particle5,51,5.1,0.467,51,0.000467,False
particle5,52,5.2,0.453,52,0.000453,False
particle5,53,5.3,0.453,53,0.000453,False
particle5,54,5.4,0.445,54,0.00044500000000000003,False
particle5,55,5.5,0.445,55,0.00044500000000000003,False
particle5,56,5.6,0.437,56,0.000437,False
particle5,57,5.7,0.432,57,0.000432,False
particle5,58,5.8,0.426,58,0.000426,False
particle5,59,5.9,0.427,59,0.000427,False
particle5,60,6.0,0.418,60,0.00041799999999999997,False
particle5,61,6.1,0.412,61,0.000412,False
particle5,62,6.2,0.413,62,0.000413,False
particle5,63,6.3,0.405,63,0.00040500000000000003,False
particle5,64,6.4,0.4,64,0.0004,False
particle5,65,6.5,0.398,65,0.000398,False
particle5,66,6.6,0.393,66,0.000393,False
particle5,67,6.7,0.394,67,0.00039400000000000004,False
particle5,68,6.8,0.388,68,0.000388,False
particle5,69,6.9,0.382,69,0.000382,False
particle5,70,7.0,0.382,70,0.000382,False
particle5,71,7.1,0.38,71,0.00038,False
particle5,72,7.2,0.369,72,0.000369,False
particle5,73,7.3,0.37,73,0.00037,False
particle5,74,7.4,0.365,74,0.000365,False
particle5,75,7.5,0.358,75,0.000358,False
particle5,76,7.6,0.357,76,0.000357,False
particle5,77,7.7,0.354,77,0.000354,False
particle5,78,7.8,0.341,78,0.00034100000000000005,False
particle5,79,7.9,0.334,79,0.00033400000000000004,False
particle5,80,8.0,0.33,80,0.00033,False
particle5,81,8.1,0.326,81,0.000326,False
particle5,82,8.2,0.324,82,0.000324,False
particle5,83,8.3,0.322,83,0.000322,False
particle5,84,8.4,0.317,84,0.000317,False
particle5,85,8.5,0.312,85,0.000312,False
particle5,86,8.6,0.308,86,0.000308,False
particle5,87,8.7,0.305,87,0.000305,False
particle5,88,8.8,0.301,88,0.000301,False
particle5,89,8.9,0.297,89,0.000297,True
particle5,90,9.0,0.297,90,0.000297,True
particle5,91,9.1,0.288,91,0.000288,True
particle5,92,9.2,0.288,92,0.000288,True
